"Case ID";"Throughput time"
"505451068544800030";"1"
"505453003296000030";"52"
"505453003268300020";"26"
"505450052016400010";"8"
"505450052152400020";"10"
"505451066264200080";"90"
"505453003216100020";"160"
"505451069454000080";"6"
"505450051777600010";"21"
"505451068077700010";"5"
"505451066635100220";"27"
"505453003336900020";"15"
"505451067462200010";"37"
"505450051161700010";""
"505451068969100080";"17"
"505450052200300010";""
"505450051484600010";""
"505450051160300030";"151"
"505450051484600030";""
"505451067240900020";"22"
"505451068667900010";"47"
"505453003174500030";"107"
"505450051484200010";""
"505451067980600040";"5"
"505451066264200010";"91"
"505450051355900030";"180"
"505450051526600060";"9"
"505451069099700010";"0"
"505451067357500010";"134"
"505451066504800030";"39"
"505451066784300010";""
"505451066264200180";"91"
"505450051355900020";"180"
"505451068639700040";"25"
"505451067877000010";"1"
"505451068077700060";"5"
"505450051547300030";"7"
"505450051855400040";"8"
"505451068053200020";"3"
"505451066592500010";"16"
"505451067233300010";"115"
"505451069079400010";"41"
"505451067134100060";"175"
"505453003327100050";"24"
"505451066527700050";"30"
"505453003152400030";""
"505453003252200020";"97"
"505450051446900060";"180"
"505451067683400010";"0"
"505451068053200050";"3"
"505451068144900010";"4"
"505450051355900060";"180"
"505450051343700010";"148"
"505451068636200010";"0"
"505451067347200010";"135"
"505451067172300030";"181"
"505450051936900020";"21"
"505451067092500020";"180"
"505451068769400030";"5"
"505451067645300010";"107"
"505451069555300010";""
"505451067979600140";"9"
"505451066530800010";""
"505453003209800030";"138"
"505453003291900010";"35"
"505451067070000020";"153"
"505451067979900030";"6"
"505453003268300030";"26"
"505451069454000050";"6"
"505450051304600040";"151"
"505451069079300010";"41"
"505451067161300010";"182"
"505453003116800020";"23"
"505450051777700010";"23"
"505450051484600070";""
"505451067407000010";"31"
"505450051110400010";"77"
"505453003323700020";"33"
"505453003172700040";"99"
"505451066963600010";"42"
"505453003209800050";"138"
"505450051561500010";"14"
"505451069366500020";"5"
"505453003209800040";"138"
"505451069319300020";"0"
"505450052260000010";""
"505450051797600020";"17"
"505451066540900050";"28"
"505451066479600010";"30"
"505451069424700010";"0"
"505450051855400090";"6"
"505451068145200020";"9"
"505453003121100010";""
"505451066784800010";"59"
"505451066971400010";"29"
"505451067877100060";"4"
"505453003266100010";"28"
"505451066305400010";""
"505450051446900050";"180"
"505451068639700050";"25"
"505450051797600040";"76"
"505450051446900010";"180"
"505450051808400010";"14"
"505451066246100010";"92"
"505453003339800020";"0"
"505451067051100010";"7"
"505451069319300040";"0"
"505450051729400010";"4"
"505451067980900020";"5"
"505453003267300010";"64"
"505450051398900010";"4"
"505451066527700010";"43"
"505453003327100010";"24"
"505451067004500030";"35"
"505451068629600010";"54"
"505451069454000010";"7"
"505451066264200100";"91"
"505453003164500010";"90"
"505451066262500010";"73"
"505451067669700010";"0"
"505451069058500010";"8"
"505451066116000050";"43"
"505451068173300010";"8"
"505451069483300010";"0"
"505450052175600010";"1"
"505453003266000020";"78"
"505451068077700050";"5"
"505451066784200010";"31"
"505451066635100110";"27"
"505450051446900080";"180"
"505451067979900060";"6"
"505451066635100010";"35"
"505450051275300010";"151"
"505451069454000070";"6"
"505450051284400010";""
"505453003291900040";"35"
"505453003133500020";"118"
"505453003133500030";"56"
"505450052142700010";"40"
"505451066341700010";"8"
"505453003243500020";"0"
"505451066305700010";"84"
"505453003284100020";"38"
"505450052025200010";"8"
"505450052120000010";"4"
"505453003171100050";"76"
